Date,Adj Close
1/3/2000,44.915394
1/4/2000,43.234756
1/5/2000,42.352402
1/6/2000,42.814564
1/7/2000,46.049828
1/10/2000,45.209507
1/11/2000,44.537254
1/12/2000,43.738937
1/13/2000,43.780956
1/14/2000,43.36079
1/17/2000,
1/18/2000,44.075054
1/19/2000,43.0667
1/20/2000,42.604507
1/21/2000,41.974266
1/24/2000,39.915459
1/25/2000,41.091911
1/26/2000,41.638126
1/27/2000,39.747406
1/28/2000,37.058342
1/31/2000,36.806263
2/1/2000,39.453278
2/2/2000,39.243206
2/3/2000,39.243206
2/4/2000,37.85667
2/7/2000,37.478512
2/8/2000,39.999493
2/9/2000,38.865025
2/10/2000,38.318851
2/11/2000,37.688602
2/14/2000,39.57933
2/15/2000,38.991089
2/16/2000,35.461742
2/17/2000,32.520596
2/18/2000,32.100437
2/21/2000,
2/22/2000,32.352531
2/23/2000,31.596235
2/24/2000,32.184471
2/25/2000,29.915586
2/28/2000,31.050035
2/29/2000,32.772717
3/1/2000,32.940773
3/2/2000,33.991158
3/3/2000,35.377712
3/6/2000,33.949154
3/7/2000,31.974379
3/8/2000,32.478588
3/9/2000,32.898746
3/10/2000,32.226479
3/13/2000,32.058411
3/14/2000,32.100437
3/15/2000,34.664963
3/16/2000,36.768421
3/17/2000,37.525635
3/20/2000,37.104984
3/21/2000,38.114643
3/22/2000,37.27327
3/23/2000,36.347736
3/24/2000,37.357395
3/27/2000,37.315323
3/28/2000,36.684284
3/29/2000,39.544979
3/30/2000,39.713257
3/31/2000,38.030487
4/3/2000,41.185684
4/4/2000,40.386364
4/5/2000,39.208447
4/6/2000,41.143608
4/7/2000,41.39603
4/10/2000,42.784325
4/11/2000,42.6581
4/12/2000,42.027077
4/13/2000,40.428432
4/14/2000,37.020836
4/17/2000,36.347736
4/18/2000,36.263599
4/19/2000,36.978752
4/20/2000,38.829811
4/21/2000,
4/24/2000,39.629139
4/25/2000,40.176033
4/26/2000,39.544979
4/27/2000,38.829811
4/28/2000,37.27327
5/1/2000,38.998085
5/2/2000,38.78775
5/3/2000,35.969128
5/4/2000,34.328419
5/5/2000,34.538769
5/8/2000,35.253948
5/9/2000,35.674625
5/10/2000,38.156704
5/11/2000,37.693954
5/12/2000,38.24086
5/15/2000,38.36705
5/16/2000,39.040154
5/17/2000,37.946369
5/18/2000,38.998085
5/19/2000,38.409126
5/22/2000,38.619461
5/23/2000,38.493267
5/24/2000,38.282917
5/25/2000,37.020836
5/26/2000,36.347736
5/29/2000,
5/30/2000,35.927036
5/31/2000,38.78775
6/1/2000,38.36705
6/2/2000,39.755333
6/5/2000,39.923599
6/6/2000,39.208447
6/7/2000,38.956032
6/8/2000,38.282917
6/9/2000,36.347736
6/12/2000,35.506351
6/13/2000,37.020836
6/14/2000,37.145496
6/15/2000,37.398186
6/16/2000,36.303207
6/19/2000,36.640118
6/20/2000,36.724358
6/21/2000,36.345303
6/22/2000,35.376663
6/23/2000,36.218979
6/26/2000,36.218979
6/27/2000,38.282623
6/28/2000,37.724575
6/29/2000,36.471657
6/30/2000,38.830116
7/3/2000,38.324722
7/4/2000,
7/5/2000,38.408943
7/6/2000,38.745869
7/7/2000,41.483356
7/10/2000,41.272774
7/11/2000,41.778156
7/12/2000,41.104309
7/13/2000,39.84087
7/14/2000,40.093571
7/17/2000,40.914814
7/18/2000,40.472584
7/19/2000,40.430473
7/20/2000,40.430473
7/21/2000,40.219906
7/24/2000,38.703766
7/25/2000,39.882977
7/26/2000,39.588173
7/27/2000,40.472584
7/28/2000,39.546062
7/31/2000,37.229733
8/1/2000,36.724358
8/2/2000,36.429543
8/3/2000,36.303207
8/4/2000,35.671455
8/7/2000,37.145496
8/8/2000,38.830116
8/9/2000,36.134735
8/10/2000,34.36591
8/11/2000,35.123974
8/14/2000,35.629364
8/15/2000,34.744946
8/16/2000,33.649952
8/17/2000,33.692059
8/18/2000,34.281662
8/21/2000,33.018223
8/22/2000,33.102448
8/23/2000,33.102448
8/24/2000,33.313038
8/25/2000,34.028988
8/28/2000,33.355145
8/29/2000,33.313038
8/30/2000,32.639175
8/31/2000,32.091679
9/1/2000,32.849762
9/4/2000,
9/5/2000,33.523605
9/6/2000,33.692059
9/7/2000,34.36591
9/8/2000,35.123974
9/11/2000,36.640118
9/12/2000,36.387436
9/13/2000,36.343582
9/14/2000,35.416019
9/15/2000,35.078724
9/18/2000,34.488461
9/19/2000,33.645214
9/20/2000,32.71764
9/21/2000,33.729538
9/22/2000,34.066833
9/25/2000,33.054947
9/26/2000,31.958731
9/27/2000,32.464672
9/28/2000,32.759804
9/29/2000,32.464672
10/2/2000,31.199829
10/3/2000,30.904692
10/4/2000,31.115501
10/5/2000,31.073341
10/6/2000,30.693886
10/9/2000,30.440916
